@relation atp_matches_2018

@attribute surface {Hard,Clay,Grass}
@attribute winner {Player1,Player2}
@attribute winner_hand {R,L,U}
@attribute winner_ioc {USA,UZB,AUS,GER,UKR,ARG,KOR,GBR,BUL,CRO,RUS,ESP,ITA,BIH,FRA,GRE,SLO,AUT,BRA,SRB,KAZ,HUN,CHI,NED,BLR,IND,RSA,CAN,URU,POR,CZE,SVK,LTU,LUX,NOR,TUN,CYP,BEL,JPN,SUI,ECU,NZL,CHN,COL,DOM,PAK,ISR,SWE,PER,EGY,ESA,EST,ALG,MAR,HKG,DEN,IRL,LIB,TPE,PHI,INA,MEX,ROU,POL,SRI,THA,FIN,ZIM,TUR,VEN,GUA,MDA,LAT}
@attribute winner_age numeric
@attribute loser_hand {R,L,U}
@attribute loser_ioc {ARG,AUS,BIH,USA,LUX,CAN,GER,KOR,UZB,UKR,GBR,BUL,ESP,ITA,ISR,QAT,AUT,SRB,CZE,DOM,TUN,RUS,FRA,SLO,CRO,GRE,BEL,ROU,MDA,IND,BRA,HUN,CHI,BLR,KAZ,NED,RSA,JPN,CHN,NZL,NOR,URU,POR,SVK,LTU,SWE,CYP,SUI,ECU,BAR,BOL,PER,ESA,EST,GEO,IRI,IRL,DEN,TPE,LIB,INA,PHI,PUR,POL,THA,SRI,FIN,TUR,ZIM,GUA,VEN,LAT,MEX,COL,PAK,EGY,HKG,MAR,ALG,MON}
@attribute loser_age numeric
@attribute w_ace numeric
@attribute w_SvGms numeric
@attribute l_ace numeric
@attribute l_SvGms numeric
@attribute winner_rank numeric
@attribute loser_rank numeric

@data
Hard,Player1,R,BEL,27.11,R,GER,30.79,13,20,6,19,7,182
Hard,Player1,R,FRA,36.07,R,JPN,24.97,8,20,14,21,59,96
Hard,Player1,R,RUS,27.69,R,GER,34.28,10,15,7,15,72,68
Hard,Player1,R,ITA,30.65,L,ARG,32.72,16,16,4,16,25,66
Hard,Player1,R,CZE,32.33,R,AUS,18.91,5,16,4,15,20,127
Hard,Player1,R,ESP,34.62,R,FRA,28.69,4,17,12,18,71,42
Hard,Player1,R,RUS,21.65,R,CAN,29.59,21,17,8,17,47,139
Hard,Player1,R,ARG,29.31,R,USA,19.99,14,14,9,14,10,81
Hard,Player1,R,USA,30.28,L,ESP,36.32,28,14,13,13,13,38
Hard,Player1,R,HUN,25.94,R,MDA,28.18,6,19,0,20,80,87
Hard,Player1,R,ARG,25.42,R,AUS,23.74,6,22,12,22,93,99
Hard,Player1,R,SVK,30.2,R,CAN,27.05,19,23,36,23,86,23
Hard,Player1,R,FRA,31.58,R,SLO,30.87,10,15,0,14,31,106
Hard,Player1,R,ITA,22.68,R,NED,30.78,13,23,8,22,219,43
Hard,Player1,R,GER,27.73,R,KOR,20.12,19,13,9,12,55,174
Hard,Player1,R,SUI,36.44,R,SLO,28.5,12,14,2,14,2,51
Hard,Player1,L,ESP,31.62,R,ARG,30.67,4,16,15,15,1,52
Hard,Player1,R,BIH,25.66,R,AUS,28.59,7,19,13,19,30,122
Hard,Player1,R,ARG,25.42,R,NOR,19.07,6,13,9,14,26,138
Hard,Player1,R,UKR,29.19,R,AUS,30.14,19,15,5,16,37,78
Hard,Player1,R,ESP,26.51,R,FRA,33.05,5,5,2,6,11,57
Hard,Player1,L,LUX,34.69,R,TUN,33.99,32,25,11,26,28,100
Hard,Player1,R,USA,25.69,R,URU,32.04,14,16,7,16,45,34
Hard,Player1,R,CRO,29.3,R,POR,28.8,20,14,6,13,6,70
Hard,Player1,R,BUL,26.67,R,USA,22.75,8,24,4,24,3,186
Hard,Player1,R,RUS,20.24,R,CYP,32.58,5,20,23,20,32,123
Hard,Player1,R,AUS,22.72,R,SRB,31.93,17,17,16,17,17,65
Hard,Player1,R,FRA,32.75,L,CAN,18.75,9,24,11,25,15,50
Hard,Player1,R,GBR,23.02,R,UZB,31.36,9,13,4,13,49,60
Hard,Player1,R,RUS,25.89,L,BEL,30,6,14,6,14,61,117
Hard,Player1,R,ITA,33.9,L,JPN,22.3,9,13,1,13,76,168
Hard,Player1,R,CRO,38.88,R,JPN,29.33,53,34,16,34,89,41
Hard,Player1,R,AUT,24.37,R,USA,25.41,21,23,12,24,5,190
Hard,Player1,L,FRA,29.55,L,CZE,24.52,19,22,13,20,27,64
Hard,Player1,L,GER,22.59,L,ESP,34.17,16,25,15,25,94,40
Hard,Player1,R,USA,26.49,R,SUI,32.8,11,13,4,12,97,8
Hard,Player1,R,SRB,30.65,R,FRA,31.37,5,18,5,17,14,39
Hard,Player1,L,ESP,30,R,USA,30.05,6,15,8,15,22,131
Hard,Player1,R,KOR,21.66,R,RUS,21.93,3,13,12,13,58,53
Hard,Player1,R,GER,20.74,R,GER,28.5,25,18,9,17,4,62
Hard,Player1,R,FRA,36.07,R,BEL,27.11,13,20,20,18,59,7
Hard,Player1,R,ITA,30.65,R,RUS,27.69,6,17,3,17,25,72
Hard,Player1,R,CZE,32.33,R,ESP,34.62,12,17,8,17,20,71
Hard,Player1,R,ARG,29.31,R,RUS,21.65,13,22,28,22,10,47
Hard,Player1,R,HUN,25.94,R,USA,30.28,14,20,19,20,80,13
Hard,Player1,R,ARG,25.42,R,SVK,30.2,2,19,14,20,93,86
Hard,Player1,R,FRA,31.58,R,ITA,22.68,7,12,9,13,31,219
Hard,Player1,R,SUI,36.44,R,GER,27.73,17,16,7,16,2,55
Hard,Player1,L,ESP,31.62,R,BIH,25.66,4,12,5,11,1,30
Hard,Player1,R,ARG,25.42,R,UKR,29.19,13,19,5,19,26,37
Hard,Player1,R,ESP,26.51,L,LUX,34.69,14,23,40,23,11,28
Hard,Player1,R,CRO,29.3,R,USA,25.69,16,17,10,16,6,45
Hard,Player1,R,BUL,26.67,R,RUS,20.24,13,20,4,19,3,32
Hard,Player1,R,AUS,22.72,R,FRA,32.75,28,23,28,23,17,15
Hard,Player1,R,GBR,23.02,R,RUS,25.89,20,24,12,25,49,61
Hard,Player1,R,ITA,33.9,R,CRO,38.88,23,31,52,30,76,89
Hard,Player1,R,AUT,24.37,L,FRA,29.55,9,15,3,15,5,27
Hard,Player1,R,USA,26.49,L,GER,22.59,13,23,8,22,97,94
Hard,Player1,R,SRB,30.65,L,ESP,30,2,13,3,13,14,22
Hard,Player1,R,KOR,21.66,R,GER,20.74,5,24,21,23,58,4
Hard,Player1,R,ITA,30.65,R,FRA,36.07,3,21,10,22,25,59
Hard,Player1,R,CZE,32.33,R,ARG,29.31,20,13,7,13,20,10
Hard,Player1,R,HUN,25.94,R,ARG,25.42,12,13,4,13,80,93
Hard,Player1,R,SUI,36.44,R,FRA,31.58,12,15,3,15,2,31
Hard,Player1,L,ESP,31.62,R,ARG,25.42,7,20,12,19,1,26
Hard,Player1,R,CRO,29.3,R,ESP,26.51,20,22,9,23,6,11
Hard,Player1,R,BUL,26.67,R,AUS,22.72,16,23,36,23,3,17
Hard,Player1,R,GBR,23.02,R,ITA,33.9,25,21,12,20,49,76
Hard,Player1,R,USA,26.49,R,AUT,24.37,20,26,20,25,97,5
